@RELATION bitcoin_price_prediction

% 가격 데이터
@ATTRIBUTE open_price NUMERIC
@ATTRIBUTE high_price NUMERIC
@ATTRIBUTE low_price NUMERIC
@ATTRIBUTE close_price NUMERIC
@ATTRIBUTE volume NUMERIC

% 차트 패턴
@ATTRIBUTE ma_cross {golden,dead,neutral}
@ATTRIBUTE rsi_signal {overbought,oversold,neutral}
@ATTRIBUTE volume_spike {high,normal,low}

% 클래스 (1시간 후 가격 방향)
@ATTRIBUTE price_direction {UP,DOWN,STABLE}

@DATA
170029000.0,170750000.0,170000000.0,170716000.0,70.89058998,golden,overbought,normal,DOWN
170716000.0,170865000.0,170028000.0,170159000.0,103.26161351,golden,neutral,normal,STABLE
170158000.0,170400000.0,169827000.0,169831000.0,76.76336615,golden,neutral,normal,STABLE
169828000.0,170390000.0,169824000.0,170333000.0,47.68513461,golden,neutral,normal,STABLE
170333000.0,170629000.0,170333000.0,170501000.0,48.10389336,golden,neutral,normal,UP
170500000.0,171168000.0,170370000.0,171168000.0,81.41728931,golden,overbought,normal,DOWN
171167000.0,171500000.0,170545000.0,170584000.0,97.63628281,golden,neutral,normal,DOWN
170590000.0,170730000.0,169542000.0,169673000.0,109.42579232,golden,neutral,normal,STABLE
169673000.0,170271000.0,169100000.0,170090000.0,113.28015648,golden,neutral,normal,UP
170080000.0,170854000.0,169999000.0,170716000.0,54.7961226,golden,neutral,normal,STABLE
170711000.0,170784000.0,170333000.0,170474000.0,45.18889902,golden,neutral,normal,DOWN
170474000.0,170500000.0,169700000.0,169704000.0,64.44214369,golden,neutral,normal,UP
169704000.0,170331000.0,169401000.0,170254000.0,82.62644823,golden,neutral,normal,DOWN
170247000.0,170292000.0,169490000.0,169566000.0,53.29315606,golden,neutral,normal,STABLE
169566000.0,170036000.0,169506000.0,169809000.0,35.40786511,dead,neutral,low,STABLE
169795000.0,170400000.0,169600000.0,170273000.0,27.58248117,dead,neutral,low,STABLE
170273000.0,170476000.0,170083000.0,170368000.0,15.77273691,dead,neutral,low,STABLE
170368000.0,170499000.0,169932000.0,169960000.0,11.25499912,dead,neutral,low,STABLE
169960000.0,169971000.0,169462000.0,169588000.0,33.60841755,dead,neutral,low,STABLE
169571000.0,169800000.0,169431000.0,169492000.0,20.05952123,dead,neutral,low,STABLE
169477000.0,169635000.0,169193000.0,169375000.0,45.63803393,dead,neutral,normal,STABLE
169375000.0,169696000.0,169186000.0,169254000.0,41.42705595,dead,neutral,normal,STABLE
169254000.0,169312000.0,168793000.0,168980000.0,80.40082472,dead,neutral,normal,STABLE
168980000.0,168996000.0,168485000.0,168744000.0,92.4811341,dead,neutral,normal,UP
168741000.0,169700000.0,168679000.0,169657000.0,49.92226053,dead,neutral,normal,DOWN
169676000.0,169691000.0,168782000.0,169128000.0,51.75120471,dead,neutral,normal,STABLE
169128000.0,169253000.0,168763000.0,168949000.0,35.2968506,dead,neutral,normal,STABLE
168949000.0,168997000.0,168697000.0,168840000.0,26.55731232,dead,neutral,normal,DOWN
168837000.0,168840000.0,168168000.0,168269000.0,59.35580521,dead,neutral,normal,UP
168268000.0,168953000.0,168214000.0,168774000.0,37.94717615,dead,neutral,normal,STABLE
168774000.0,169108000.0,168751000.0,168912000.0,80.76460551,dead,neutral,normal,STABLE
168912000.0,169320000.0,168850000.0,169182000.0,40.83495866,dead,neutral,normal,STABLE
169200000.0,169320000.0,168980000.0,169184000.0,20.56139074,dead,neutral,low,STABLE
169184000.0,169320000.0,169093000.0,169319000.0,15.76487186,dead,neutral,low,STABLE
169320000.0,169400000.0,169123000.0,169143000.0,29.48513598,dead,neutral,normal,STABLE
169190000.0,169352000.0,169000000.0,169222000.0,34.7642895,dead,neutral,normal,STABLE
